,avg_wpi,ev1,ev2,ev3,ev4,ev5,ev6,ev7,ev8,dgp1,dgp2,dgp3,dgp4,dgp5,dgp6,dgp7,dgp8
2023-03-15 15:00:00,1034.8345684139863,1054.771838515997,874.1942070648074,1008.7810971736908,1397.7183090178296,1165.7634982466698,881.5674086362123,790.2770631350577,1092.4484595358372,0.221003,0.210467,0.218703,0.241458,0.227679,0.210953,0.206244,0.223790
2023-03-15 16:00:00,816.2831682361883,847.0576272904873,708.3688937425613,823.6933450102806,1133.8822564797592,930.8120342940092,712.0581410788,641.094975668937,885.713929258287,0.208722,0.200581,0.207732,0.225703,0.213639,0.200828,0.197242,0.211389
2023-03-15 17:00:00,600.765365566672,654.5453834682703,558.8218730501831,659.4949857890606,887.5529585247568,708.8273228555918,558.6305529251695,508.229763250798,695.5289110653102,0.197420,0.191787,0.197829,0.211133,0.200608,0.191777,0.188974,0.199827
2023-03-16 08:00:00,4136.51719384351,4448.598355829716,3224.94295758754,1924.000696361065,2063.0569670914265,3944.649899959564,2259.0049051344395,2676.557057119906,1918.496993303299,0.739041,0.627982,0.504756,0.481315,0.708158,0.575195,0.552646,0.494654
2023-03-16 09:00:00,6733.071900004862,3252.9204712212086,1931.8009915947914,2097.5005198717117,2810.7996658613556,10883.798973917961,4936.981256693602,4666.888062417507,5718.148838713765,0.590150,0.316320,0.322513,0.354465,1.000000,0.468935,0.590651,0.629107
2023-03-16 10:00:00,7063.799024570011,3009.2057012319565,2283.8673121780157,2461.172163128853,3130.924842181499,9008.640984773636,2987.051971361041,2728.135068371892,2845.8798245340586,0.355167,0.336101,0.348878,0.379942,0.693902,0.394306,0.343539,0.476212
2023-03-16 11:00:00,5931.843346351871,3373.4063236117363,2647.361669510603,2677.680627346039,3417.6389353364357,5233.116464853287,4750.1099826693535,2682.489867400378,2814.6260443404317,0.370031,0.352349,0.357964,0.387083,0.478517,0.451856,0.341733,0.346149
2023-03-16 12:00:00,4792.867597297347,3809.66173478961,2921.392780959606,2966.1591351032257,3770.7634932701476,5188.702026963234,3825.8780766278505,3953.0187295787036,3075.7042600028217,0.395425,0.368086,0.377576,0.410628,0.475542,0.406305,0.409604,0.365142
2023-03-16 13:00:00,114.4777775987125,217.00718598254025,130.8417277566623,178.70517487323377,244.7708368311869,217.36368832550943,145.306073578191,130.26923557417467,209.40670506272,0.167440,0.084299,0.151420,0.215556,0.208513,0.105052,0.078739,0.173909
2023-03-16 14:00:00,1500.2272426496615,1547.8135993480682,1725.7448168545961,1909.0370246767998,2135.6161392469076,1665.7181730270386,1572.1250759065151,1260.7241459526122,1515.9804613515735,0.265216,0.278269,0.316491,0.327033,0.274232,0.280975,0.278576,0.264796
2023-03-16 15:00:00,994.3309800012385,736.2024657428265,1000.354425393045,1113.2258276045322,1234.714840083674,868.8962084650993,868.186422586441,717.0886931270361,776.1970498003066,0.219336,0.238333,0.250193,0.260196,0.232198,0.227824,0.223978,0.229381
2023-03-16 16:00:00,493.79333566592265,243.11406099051237,394.0948970839381,445.86442114412785,530.7464907877002,312.25698834937066,302.9156572371721,265.1322533143684,279.5032905517146,0.149416,0.181361,0.186135,0.190742,0.172102,0.170453,0.162348,0.167561
2023-03-16 17:00:00,317.2457026033926,121.57866326719522,208.01724129309878,231.83909736573696,280.5295104085235,194.92934118839912,174.87204060330987,170.24169337493367,150.0515006268397,0.042050,0.124909,0.142738,0.164751,0.113065,0.092939,0.088119,0.067393
2023-03-17 08:00:00,445.2450897336381,428.1936982162297,356.8304431978613,410.0848138332367,573.0557872313511,481.78016416728497,363.0952679300681,324.27604987379164,444.18425399437547,0.183790,0.178090,0.182542,0.192627,0.187183,0.178711,0.174073,0.184837
2023-03-17 09:00:00,3603.4758961554016,2502.7098784446716,1776.7169263511896,1877.7767217159271,2405.9930982341466,5248.632412195206,2816.8354762494564,2453.596834897995,2964.381867006421,0.487900,0.294689,0.303288,0.326007,0.621909,0.358364,0.406452,0.430226
2023-03-17 10:00:00,4389.187934644489,2937.804678052664,2232.399950429797,2321.223100423813,2995.510619164619,5623.939873099327,2915.1438741385937,2363.6677626147866,2600.8252530917525,0.346861,0.328980,0.337596,0.363104,0.499923,0.385946,0.321778,0.375797
2023-03-17 11:00:00,4538.563228706318,3308.246118068695,2583.740680798888,2636.9002211093903,3405.90045897878,4990.771615386009,3954.5983776301146,2519.939687717706,2793.3860038369894,0.367011,0.349382,0.357462,0.388453,0.465229,0.409561,0.335287,0.346330
2023-03-17 12:00:00,6151.697135458422,3308.9480090737343,2679.647905603051,2831.301800966263,3466.7265287091723,4497.574519395828,3468.7735463678837,5850.412904176861,2779.3459845744073,0.367483,0.358230,0.373731,0.400647,0.439392,0.428773,0.525511,0.364116
2023-03-17 13:00:00,6362.359071062055,4231.709405004978,2815.8803719729185,3674.014985561371,3859.0703033335158,5618.8305423259735,3406.217315644026,9291.578222617507,3389.6652904395014,0.433022,0.346117,0.413858,0.422630,0.515832,0.385440,0.993487,0.406243
2023-03-17 14:00:00,6182.949240191998,14778.280622065067,3229.3635176867247,3452.6571362018585,5530.208100155462,18644.458179205656,3693.697553306818,4754.117943845689,5019.39422573708,1.000000,0.383870,0.409225,0.520450,1.000000,0.402226,0.765851,0.473745
2023-03-17 15:00:00,5506.430902121799,11112.111130923033,5569.1696285530925,4764.615708827972,7204.5816237968975,10290.178194880486,5393.760239064693,5024.02286817506,10111.036589052528,1.000000,0.496586,0.474843,0.794036,1.000000,0.494385,0.476830,0.922512
2023-03-17 16:00:00,1257.575485176314,1419.3710833191872,1178.75530975312,1354.6228742301464,1819.2263611416565,1536.1262131929398,1182.6978400349617,1050.6256050225347,1449.986316954717,0.245182,0.236201,0.245570,0.274448,0.254946,0.238920,0.226423,0.247841
2023-03-17 17:00:00,634.1450514035614,690.3138617947698,589.2362262792885,695.739129781723,937.5059332210512,746.9905747622252,588.5064917169511,536.1172631038353,734.5165714193135,0.199521,0.193581,0.200005,0.214074,0.202848,0.193552,0.190722,0.202224
2023-03-18 08:00:00,4341.011074922514,4685.7744463682175,3360.9494755119085,1990.7233606278896,2120.045712061372,4073.439963877201,2348.361472159624,2804.5235444158316,1971.2131691649556,0.726468,0.629265,0.501150,0.473219,0.708845,0.559112,0.559340,0.490496
2023-03-18 09:00:00,7391.680816377647,3303.090961366892,1991.1366112232208,2191.7242934703827,2887.892089830013,11443.506506443024,5258.43930080533,5270.779602020979,6465.6584700495005,0.615007,0.319220,0.329074,0.362828,1.000000,0.487242,0.631981,0.688843
2023-03-18 10:00:00,7624.014230330283,3023.1142486333847,2298.8125514686108,2493.1456941366196,3187.577465987648,8585.56544137001,2967.289024323225,3300.1949198544025,2934.223673030734,0.357822,0.340101,0.354218,0.390547,0.669671,0.395196,0.376247,0.487784
2023-03-18 11:00:00,7683.9921407400125,3110.5235501527786,2511.184957295656,2665.7041161060333,3348.0338203496067,4598.036051988602,5053.929919600487,3414.366731055081,2726.133417855948,0.389810,0.353275,0.366219,0.400974,0.484997,0.500615,0.412628,0.378003
2023-03-18 12:00:00,6569.904186390949,3226.307213783264,2675.1272115707397,2932.405018091202,3572.8729036553996,4348.677101135254,3426.7203236818314,6511.747514056042,2826.433140460402,0.366156,0.363618,0.382506,0.414574,0.434830,0.428214,0.565537,0.375324
2023-03-18 13:00:00,6514.152364970806,4173.889048874378,2804.1112058907747,3714.3825818300247,3850.0581360624055,5518.639385521412,3385.5139955580235,9545.627508172765,3405.8159484639764,0.430249,0.345833,0.415840,0.422417,0.510828,0.384315,0.997740,0.408001
2023-03-18 14:00:00,6336.839412759402,15389.57086905837,3187.7405439019203,3421.7995636463165,5555.10379560155,19381.15693360567,3644.474372640252,4778.557506412268,5066.343535894528,1.000000,0.382073,0.408055,0.524160,1.000000,0.399809,0.736906,0.493450
2023-03-18 15:00:00,5237.005354286103,10406.818044185638,5162.32172613591,4457.62615609169,6627.768967137265,10472.572977036238,4860.798010140657,4802.523834679276,9004.307877130806,1.000000,0.474372,0.460479,0.785374,1.000000,0.466409,0.465835,0.889407
2023-03-18 16:00:00,1269.1186524617613,1702.0970346033573,1419.2465007416904,1664.521163135767,2182.810578159668,1618.9567390680313,1257.5968376994133,1118.506915902719,1722.803840637207,0.276052,0.256595,0.276950,0.307747,0.295359,0.246124,0.247986,0.287393
2023-03-18 17:00:00,457.10589772975254,445.2223859205842,541.77582327649,646.5669350028038,722.5874765576737,461.37812155485153,474.58559999242425,425.29799278080463,500.08956191595644,0.184904,0.190779,0.197215,0.201506,0.185925,0.186775,0.184191,0.188588
2023-03-19 08:00:00,3867.2014172739014,3975.9632572233677,2599.1100741177797,1823.2712823748589,1789.6075231643626,3083.7642353773117,1862.8104356229305,2066.3902873396873,1454.5590974986553,0.660560,0.584279,0.495144,0.460278,0.638519,0.541814,0.532587,0.415641
2023-03-19 09:00:00,127.76933380256739,421.5516681498848,241.34071299619973,295.26421167352237,434.9677522049751,419.1280150669627,295.864979615435,291.682704704348,401.5241790036671,0.227451,0.219483,0.226253,0.236554,0.242409,0.235470,0.230730,0.211807
2023-03-19 10:00:00,3826.2771609132974,2239.1799342036247,1989.1095671355724,2188.209574699402,2602.6465604761033,4789.91394162178,2291.40336984396,1865.5768499076366,2017.2390362024307,0.361810,0.325393,0.340125,0.364982,0.488545,0.366853,0.316369,0.332025
2023-03-19 11:00:00,7537.913900980695,1405.2293298244476,1510.0854210332036,1587.5408660769463,1998.4718940751627,3022.5095589123666,3927.066502481699,2683.0914691463113,1311.8584953546524,0.323111,0.304187,0.272555,0.300995,0.372259,0.407613,0.365813,0.306316
2023-03-19 12:00:00,6633.482790487748,3236.6402730941772,2681.8795797228813,2948.4957435131073,3593.3693951759487,4351.273707866669,3426.155221283436,6622.032007114962,2844.842960430309,0.366753,0.363952,0.383303,0.415455,0.434783,0.427932,0.572105,0.376440
2023-03-19 13:00:00,6514.313696399123,4137.076067388058,2815.990548953414,3820.395888209343,3857.601633662882,5422.404484033585,3393.892724201083,9364.0183264222,3484.0150279328227,0.428433,0.346326,0.420853,0.422940,0.505719,0.384716,0.997676,0.411407
2023-03-19 14:00:00,6312.361098852113,16095.312012940645,3235.4094820916653,3469.8694890737534,5461.476303315634,19109.516533076763,3685.7284545749426,4186.091338995844,4929.254063975066,1.000000,0.384117,0.410513,0.516327,1.000000,0.402063,0.440081,0.486049
2023-03-19 15:00:00,5635.344311858811,11454.278242647648,5402.251752436161,4479.62743806839,6948.371428659651,11527.396052360535,4947.284753203392,5117.593610554934,9958.950172908604,1.000000,0.487353,0.460557,0.803042,1.000000,0.470406,0.481614,0.946540
2023-03-19 16:00:00,1827.074898067243,2389.8077233582735,2002.1557938307524,2259.0282329022884,2822.555408875807,2498.9330689013004,1922.495994295925,1706.6625738050789,2345.4967535492033,0.342784,0.286227,0.320361,0.355599,0.383747,0.289353,0.287873,0.371162
2023-03-19 17:00:00,645.3774838892322,697.1941246390343,594.4480510223657,702.1258519589901,949.686102520267,755.0741173028946,593.3166498243809,541.1066390294582,742.9329313645139,0.199925,0.193887,0.200389,0.214791,0.203323,0.193835,0.191033,0.202723
2023-03-20 08:00:00,4787.452558491117,4962.736905157566,3016.298962146044,2095.569405734539,2150.011019384605,3832.472217321396,2376.8984380066395,2847.5033657997847,1968.4690778777003,0.724033,0.612204,0.519415,0.469584,0.661040,0.575574,0.566007,0.442765
2023-03-20 09:00:00,2536.472001947783,2183.842298448086,1661.0495993942022,1759.066613048315,2198.2896005696093,3529.621381700039,2157.9800748303533,1731.3354004211724,2094.2738698981702,0.375185,0.285551,0.294072,0.315053,0.408666,0.326674,0.308195,0.328905
2023-03-20 10:00:00,1177.7950567726948,1139.370673686266,940.1323126591742,1065.4268144667149,1486.0802403361013,1290.6338730156422,962.2748882584274,850.4091339390725,1163.323033630848,0.227723,0.215007,0.221986,0.246575,0.238209,0.217438,0.209706,0.227869
2023-03-20 11:00:00,1943.220893216956,1871.479643970728,1514.7661081030965,1674.8639285564423,2321.8433042966935,2165.2141056656837,1597.242486692965,1372.5097670331597,1842.773171853274,0.276454,0.265711,0.283032,0.320015,0.295374,0.267018,0.258968,0.274444
2023-03-20 12:00:00,3135.607356478146,3258.8624194562435,2489.825596511364,2517.0742322802544,3200.8546217398252,4350.6798830628395,3170.729369238019,2427.958381935954,2624.938392493874,0.362670,0.344313,0.351292,0.376908,0.426433,0.367959,0.330398,0.337703
2023-03-20 13:00:00,4298.033922373765,4513.65015438199,3148.121758401394,3418.6076456308365,4222.476127754606,5469.720365047455,3737.2218083143234,4180.0388693623245,3575.0007157362998,0.435091,0.376797,0.401663,0.437056,0.490553,0.401331,0.624019,0.394614
2023-03-20 14:00:00,4211.016611002583,7404.897817701101,3538.7851845920086,3710.618742465973,4904.628636284091,8395.705860197544,3949.0296957343817,3365.234992541373,4265.564546320587,0.600003,0.384597,0.419843,0.476201,0.657885,0.414712,0.389087,0.435608
2023-03-20 15:00:00,3392.64842024377,5652.500799804926,3772.517558194697,3862.4140892624855,4942.742489218363,6019.25283280015,3919.8604924827814,3213.721790648997,4815.519945204258,0.546894,0.397795,0.427357,0.499051,0.556343,0.415035,0.384389,0.473935
2023-03-20 16:00:00,1437.9639882030422,1679.4031728208065,1396.045638255775,1597.0088036954403,2113.312486668321,1800.6232967972755,1383.917737081647,1231.343151209876,1702.6245055943727,0.270050,0.254144,0.271859,0.302373,0.287748,0.251091,0.249047,0.279919
2023-03-20 17:00:00,1209.8678627822028,1616.4063620120287,1470.3321249000728,1730.113501548767,2072.5980672153964,1640.7470822632313,1478.326728027314,1377.6452331002802,1664.4223895072937,0.363867,0.449179,0.432177,0.374517,0.345064,0.426797,0.420081,0.362009
