,avg_wpi,ev1,ev2,ev3,ev4,ev5,ev6,ev7,ev8,dgp1,dgp2,dgp3,dgp4,dgp5,dgp6,dgp7,dgp8
2023-03-14 08:00:00,1250.0462720394778,1299.5110654830933,1037.6143559142947,1046.457173332572,1229.287433663776,1633.5578210949898,1094.3713767044246,917.5940632782876,1003.1430396698415,0.434257,0.222740,0.272977,0.266110,0.402751,0.363093,0.316741,0.217888
2023-03-14 09:00:00,979.8749525065488,931.9191783964634,764.4940129518509,861.2929002344608,1196.170258178172,1090.4177545905113,797.8915960490704,700.1830980349332,944.6799496877939,0.215013,0.203886,0.209828,0.229349,0.233509,0.206428,0.201445,0.215346
2023-03-14 10:00:00,1718.7002791123512,1588.278399989009,1284.6482174992561,1414.680104970932,1952.8770233656687,1947.2035747766495,1361.9271801635623,1168.5990174151957,1556.8036481030285,0.258012,0.243755,0.249013,0.287475,0.280443,0.250597,0.232111,0.254979
2023-03-14 11:00:00,1380.91740801545,2636.5858929837123,2012.962201085873,2350.1211215439253,3175.32493508514,2802.8552148602903,1889.1525574969128,1558.6586611010134,2359.5794324744493,0.327628,0.306551,0.342485,0.372465,0.336737,0.297933,0.295492,0.318017
2023-03-14 12:00:00,2709.06217860451,1402.8809596002102,1652.4988320022821,1563.25905418396,1764.1570153895882,2697.7891724035144,2319.0819205865264,1801.1292966157198,1206.4680462367833,0.268038,0.300858,0.288754,0.302065,0.347260,0.322036,0.283987,0.247043
2023-03-14 13:00:00,2318.9701771476643,815.3167019605171,1242.1846251012757,1164.9630556833,1389.6471262455452,1839.5276436174754,1670.6622572559863,1976.7885646870127,839.5062739243731,0.276094,0.262225,0.256598,0.271065,0.313496,0.292635,0.489841,0.241024
2023-03-14 14:00:00,2413.30302676738,2295.540939092636,2548.0179281681776,2626.2202110290527,2649.0856369575486,3023.3180054426193,2887.5187182724476,2766.1133834831417,2109.5815425626934,0.314698,0.329068,0.364941,0.361109,0.358028,0.357569,0.556882,0.331889
2023-03-14 15:00:00,1833.0219930204821,1361.211210846901,2000.4794922322035,1935.1666173934937,1943.1897120860522,1942.7459275312722,1908.941555634141,2522.3459861855954,1328.7506185621023,0.301601,0.291418,0.319202,0.323993,0.308910,0.305883,0.337394,0.473661
2023-03-14 16:00:00,1155.9347325283404,1290.4526246637106,1072.3616333045065,1233.651422470808,1661.8910248173634,1402.4847865104675,1080.9360931962729,958.6359035782516,1320.8516821451485,0.235695,0.225233,0.234712,0.259236,0.243774,0.226779,0.217028,0.237470
2023-03-14 17:00:00,501.4115507994469,531.0532096028328,451.7067955210805,532.7602543383837,724.6025389205024,578.9946983978152,452.19270447455347,411.4127902938053,564.7907847762108,0.190143,0.185317,0.190244,0.201534,0.192977,0.185348,0.182636,0.192140
2023-03-15 08:00:00,1465.5933625321402,1521.8032629191875,1204.8761702924967,1168.9962348341942,1368.4391066533717,1854.6012701690197,1232.2322509251535,1059.8784987609833,1124.2520524393767,0.485077,0.402743,0.308525,0.300495,0.457475,0.405568,0.360299,0.315750
2023-03-15 09:00:00,1590.9112258106227,1903.8643867522478,1406.0374730974436,1544.1774555547163,1993.0428144910838,3325.627404389903,1864.8780254274607,1467.3698382871225,1840.06497146748,0.323295,0.259194,0.274321,0.297901,0.458092,0.306469,0.291513,0.308502
2023-03-15 10:00:00,1410.9850574787174,2238.4080397188663,1739.5803632736206,2096.6137441396713,2830.5954301846214,2286.223311662674,1505.9511306583881,1391.4920370969921,2135.216949271038,0.303413,0.281241,0.325687,0.354193,0.304575,0.277196,0.282579,0.309194
2023-03-15 11:00:00,1172.2521233915108,2446.9862051168457,1972.0039000911638,2433.3736507399008,3165.4843703056686,2826.5204673297703,1930.4727588933893,1710.1244499813765,2357.8615155573934,0.323219,0.307454,0.350276,0.387878,0.343707,0.301867,0.306038,0.330604
2023-03-15 12:00:00,5790.738062540121,1551.5654954314232,1704.974910646677,1752.227558851242,2063.773507776088,2792.7977322638035,2395.954505160451,4409.47728000395,1412.5604364871979,0.284037,0.313124,0.308882,0.329659,0.358740,0.371361,0.450165,0.311061
2023-03-15 13:00:00,4116.577207413727,834.2899025138468,1156.6292911497876,1216.096849910915,1522.971317079151,1769.1850356282666,1609.0022027939558,6607.687248138245,1544.4402379244566,0.273049,0.264376,0.263780,0.289068,0.315770,0.296556,0.851996,0.298021
2023-03-15 14:00:00,2533.0554180003724,2336.122435569763,2539.2079204916954,2644.0109012126923,2670.821623402444,3074.040958106518,2903.5643891245127,3420.767993103713,2256.0461246035993,0.316807,0.329076,0.365553,0.362358,0.361106,0.358849,0.653553,0.337130
2023-03-15 15:00:00,1034.8345684139863,1054.771838515997,874.1942070648074,1008.7810971736908,1397.7183090178296,1165.7634982466698,881.5674086362123,790.2770631350577,1092.4484595358372,0.221003,0.210467,0.218703,0.241458,0.227679,0.210953,0.206244,0.223790
2023-03-15 16:00:00,816.2831682361883,847.0576272904873,708.3688937425613,823.6933450102806,1133.8822564797592,930.8120342940092,712.0581410788,641.094975668937,885.713929258287,0.208722,0.200581,0.207732,0.225703,0.213639,0.200828,0.197242,0.211389
