,avg_wpi,ev1,ev2,ev3,ev4,ev5,ev6,ev7,ev8,dgp1,dgp2,dgp3,dgp4,dgp5,dgp6,dgp7,dgp8
2023-03-14 08:00:00,186.73246830434545,106.06995616703352,226.49922307537054,387.0236911184329,519.894071240793,111.98294707451714,82.4822383729188,167.64310550509254,212.89828321995446,0.035613,0.139195,0.182394,0.269088,0.089674,0.019416,0.085426,0.128974
2023-03-14 09:00:00,730.6679961420397,249.64176747202873,401.852218226064,420.9118304606527,523.9870300627372,467.66120684472844,376.75717922020704,347.2771066520363,290.07550906576216,0.158192,0.181981,0.184314,0.190346,0.197144,0.182292,0.181786,0.170337
2023-03-14 10:00:00,1305.6486582019345,479.6089497804642,706.5831687729806,719.8819466233253,882.8597609599528,917.8964609857649,694.2471134588122,617.4528208430856,512.1282057352364,0.222103,0.215286,0.218103,0.228598,0.237974,0.221216,0.204942,0.212156
2023-03-14 11:00:00,3604.243796464128,1130.9933442026377,1376.3815836571157,1234.9850051607937,1468.9313487893087,2951.3348253201693,2628.347389679402,1300.4427820635028,907.8079985231161,0.278476,0.265775,0.256372,0.273279,0.363250,0.336177,0.249521,0.241754
2023-03-14 12:00:00,2631.949380371467,946.5815537720919,1285.5032657138072,1154.4134110901505,1376.8726277191308,2280.1082658777013,1918.8400873932987,1495.9904440101236,813.5407930500805,0.275584,0.262312,0.253457,0.269165,0.330779,0.303769,0.259804,0.239321
2023-03-14 13:00:00,1400.8301046438853,1554.800506430678,1807.9564001359977,2127.4300086451694,2300.267205964774,1384.9795035589486,1383.8988819634542,1223.3999531399459,1579.3501595387934,0.270889,0.286266,0.331754,0.342062,0.270066,0.279706,0.282507,0.306660
2023-03-14 14:00:00,1556.0379347487315,1930.7679330259562,2220.6521055516787,2553.028898162418,2623.3024155235616,1793.3102921424434,1793.7772754030302,1447.3747501177713,1872.9950454237405,0.293590,0.310573,0.358307,0.359896,0.292139,0.302985,0.297254,0.324041
2023-03-14 15:00:00,3755.0919024361074,8142.841331094503,4274.451897680759,4294.022515639663,5989.5305718987365,6771.867933988571,3888.385629966855,2552.7703569512814,6396.722573235631,0.854784,0.424265,0.449260,0.688918,0.758823,0.411163,0.350886,0.653163
2023-03-14 16:00:00,775.8271699593165,273.33503091335297,509.44034050311893,543.92801634036,644.086280492018,468.1702613127418,421.8364024683833,409.13180539780296,332.7682217992842,0.164948,0.198094,0.200837,0.202531,0.198925,0.198726,0.187295,0.179484
2023-03-14 17:00:00,347.56911568548617,120.52447334676981,224.23822383768857,247.95142287388444,297.7042876739579,203.34702135669068,182.83685128577054,179.63642546127085,152.46759769693017,0.041245,0.137604,0.151954,0.169188,0.120833,0.101130,0.097861,0.069803
2023-03-15 08:00:00,207.2020191287754,121.7005801005289,251.26682028442156,428.19525615667226,578.5097350674914,130.98865108232712,91.67528604381368,185.9124900008901,237.12709068716504,0.047138,0.153604,0.184101,0.298804,0.135857,0.023586,0.104402,0.146046
2023-03-15 09:00:00,1949.6879414276796,829.2350622117519,819.0048517817631,798.8727730438113,966.9512613879051,2254.619362414349,1208.6447514407337,928.2132613214198,835.1342074126005,0.256327,0.223622,0.224715,0.237001,0.314765,0.248263,0.288580,0.219086
2023-03-15 10:00:00,1887.9528299560372,2157.6978523880243,1754.4591489061713,2175.52194641158,2855.3495532820816,2054.85886259377,1474.6605185121298,1444.515704959631,2150.516517728567,0.298271,0.281424,0.328448,0.355797,0.291815,0.275933,0.282033,0.311569
2023-03-15 11:00:00,1331.6480375214287,2231.2245053201914,1624.6825017556548,2158.683878697455,2775.980852790526,2267.4012619256973,1614.8577253222466,1588.5420708991587,2281.9970422387123,0.309846,0.292295,0.336235,0.369079,0.313190,0.288008,0.296667,0.333094
2023-03-15 12:00:00,1461.549660085361,2565.7498566508293,1788.3471891507506,2319.953094661236,2863.1452167307725,2456.8101543337107,1781.7154440283775,1728.3444441687316,2362.869190812111,0.324675,0.302493,0.345263,0.371376,0.323953,0.296538,0.304347,0.338030
