time,south,east,west,north
2022-03-13 00:00:00,0,0,0,0
2022-03-13 01:00:00,0,0,0,0
2022-03-13 02:00:00,0,0,0,0
2022-03-13 03:00:00,0,0,0,0
2022-03-13 04:00:00,0,0,0,0
2022-03-13 05:00:00,0,0,0,0
2022-03-13 06:00:00,0,0,0,0
2022-03-13 07:00:00,0,0,0,0
2022-03-13 08:00:00,0,0,0,0
2022-03-13 09:00:00,0,0,0,0
2022-03-13 10:00:00,9,8,6,8
2022-03-13 11:00:00,9,8,6,8
2022-03-13 12:00:00,8,7,1,8
2022-03-13 13:00:00,9,9,9,9
2022-03-13 14:00:00,8,8,9,8
2022-03-13 15:00:00,8,8,9,8
2022-03-13 16:00:00,9,9,9,9
2022-03-13 17:00:00,0,0,0,0
2022-03-13 18:00:00,0,0,0,0
2022-03-13 19:00:00,0,0,0,0
2022-03-13 20:00:00,0,0,0,0
2022-03-13 21:00:00,0,0,0,0
2022-03-13 22:00:00,0,0,0,0
2022-03-13 23:00:00,0,0,0,0
2022-03-14 00:00:00,0,0,0,0
2022-03-14 01:00:00,0,0,0,0
2022-03-14 02:00:00,0,0,0,0
2022-03-14 03:00:00,0,0,0,0
2022-03-14 04:00:00,0,0,0,0
2022-03-14 05:00:00,0,0,0,0
2022-03-14 06:00:00,0,0,0,0
2022-03-14 07:00:00,0,0,0,0
2022-03-14 08:00:00,0,0,0,0
2022-03-14 09:00:00,0,0,0,0
2022-03-14 10:00:00,0,0,0,0
2022-03-14 11:00:00,9,8,6,8
2022-03-14 12:00:00,2,0,1,0
2022-03-14 13:00:00,1,0,3,0
2022-03-14 14:00:00,1,0,5,0
2022-03-14 15:00:00,0,0,6,0
2022-03-14 16:00:00,0,0,0,0
2022-03-14 17:00:00,0,0,0,0
2022-03-14 18:00:00,0,0,0,0
2022-03-14 19:00:00,0,0,0,0
2022-03-14 20:00:00,0,0,0,0
2022-03-14 21:00:00,0,0,0,0
2022-03-14 22:00:00,0,0,0,0
2022-03-14 23:00:00,0,0,0,0
2022-03-15 00:00:00,0,0,0,0
2022-03-15 01:00:00,0,0,0,0
2022-03-15 02:00:00,0,0,0,0
2022-03-15 03:00:00,0,0,0,0
2022-03-15 04:00:00,0,0,0,0
2022-03-15 05:00:00,0,0,0,0
2022-03-15 06:00:00,0,0,0,0
2022-03-15 07:00:00,0,0,0,0
2022-03-15 08:00:00,0,0,0,0
2022-03-15 09:00:00,0,0,0,0
2022-03-15 10:00:00,3,0,0,0
2022-03-15 11:00:00,2,0,1,0
2022-03-15 12:00:00,1,0,1,0
